1, 1, 52,
1, 2, 72,
1, 5, 94,
1, 6, 84,
1, 7, 82,
2, 3, 99,
2, 10, 24,
2, 9, 25,
2, 4, 92,
2, 5, 82,
3, 1, 92,
3, 3, 73,
3, 5, 86,
3, 7, 83,
3, 9, 18,
4, 2, 12,
4, 4, 95,
4, 6, 68,
4, 8, 92,
4, 9, 83,
5, 1, 24,
5, 4, 39,
5, 8, 33,
5, 10, 93,
5, 3, 34,
6, 9, 12,
6, 3, 94,
6, 6, 90,
6, 2, 67,
6, 5, 66,
7, 10, 95,
7, 7, 83,
7, 5, 78,
7, 4, 28,
7, 3, 42,
8, 1, 21,
8, 2, 96,
8, 3, 84,
8, 4, 97,
8, 5, 14,
9, 6, 82,
9, 7, 15,
9, 8, 95,
9, 9, 43,
9, 10, 97,
10, 1, 33,
10, 8, 66,
10, 3, 94,
10, 6, 96,
10, 2, 85,
1, 9, 50,
